博主id,用户昵称,性别,粉丝数,关注数,是否大V,微博认证,个人简介,svip等级,score
1143749671,米兰狂人,m,58,412,False,,,0,1.5
1144961534,言今Chloe,f,234,615,False,,迷茫和堕落，就是，活着的参差,2,1.0
1145387557,卯卯呜呜呜啾,f,271,101,False,,希望你善良，也希望你善良得有原则。,0,1.0
1148209967,daill8,m,405,2010,False,,,0,2.0
1149745784,天天天蓝蓝啊,m,3057,2875,False,,万事从来风过耳，一生只是自由身。,0,2.0
1149956613,张慧林,m,2604084,5647,True,,南京市纪委廉政观察员  江苏省科普志愿者  微博自媒体作者,1,0.0
1150132404,把姓倒过来也可以的呦,f,460,983,False,,,0,1.0
1150978731,蛋蛋0610,f,391,287,False,,人猪殊途,1,1.0
1151263193,白日梦里睡不足,m,285,648,False,,只是当时已惘然,0,1.0
1152414371,阿尔卑斯山的天空2011,f,1370,452,False,,慢活，也是一种生活态度！,0,1.0
1153494495,秋小曦_,f,208472,913,True,,一个娇小，短发的网络作家，喜欢记录和分享生活，至于年龄，你猜猜看(｡･ω･｡)ﾉ♡,1,1.0
1154723553,电台伊宁,f,3790,486,False,,,1,1.0
1156895524,加肥猫斯基,f,250,658,False,,饱吃红莲香饭，侬家便是仙家。,0,1.0
1157130790,爱兮贝尔GY,f,1125,682,False,,听听相声，舒筋活络；哼哼戏曲，神清气爽……,0,1.0
1158243444,南极看不见北斗,f,1446,1404,False,,怕无归期 怕空欢喜 怕来者不是你…,1,4.0
1159610173,环球书屋,m,209455,3534,True,,一本书，一个世界，带你领略无尽的精彩,1,1.5
1162820023,闲云孤鹤001,m,104,14,False,,随心随性随缘,0,2.0
1165451275,镶嵌着大金条,m,1212,5116,False,,,0,1.0
1169756961,浅浅的1977,f,66,1176,False,,,0,1.0
1172327933,WildLifeToday,f,404,1172,False,,所谓的彩虹 不过就是光 只要心还透明 就能折射希望,0,4.0
1172406044,人间笑想,f,293,184,False,,天地通 日事通 万事皆成,1,1.0
1172868183,吃土的二少爷,f,195,554,False,,shakaforever,0,1.0
1177916870,大学找马子为了啥,m,671,1039,False,,I AM WHAT I AM,0,1.0
1179878281,wdbdjyjm,f,285,400,False,,,0,4.0
1183031957,不想透露姓名的熊先生,m,913,832,False,,xxn离开双标没法玩,1,1.0
1185406603,求上进心到咖啡碗里来,f,461,488,False,,KKF,0,1.5
1187273557,minicm,f,1104,5140,False,,,1,2.0
1189862122,NecoK,f,222,292,False,,洋洋务务,0,1.0
1190011775,小猪T牙疼,m,679,2141,False,,西红柿不甜。我想与世隔绝，这没什么大不了的[微笑],0,2.0
1190997202,Jasmine-桃子de天空,f,1327,788,False,,贝贝妈-大手牵小手，一直陪你走。 Make everyday counts!,0,1.0
1191114360,惊为天然呆,f,542,886,False,,一切都是最好的安排,0,1.0
1191443301,快乐扭一扭,f,454,571,False,,,0,1.0
1191651622,找不着白,m,101,9,False,,虽然屡战屡败，但我痴心不改,0,1.0
1192424025,什么都不让用还改什么名,f,185,419,False,,,0,1.0
1195300212,凉糖糖,f,1170,1224,False,,有时候沉默的不想说话 有时又想聒噪个没完,1,5.0
1195316473,澜梦逸尘君,m,447,771,False,,,0,1.0
1196126635,硬核哥,m,645822,14296,True,,互相支持帮衬，联系微 hao4han,1,1.0
1197334070,啊啊啊啊啊啊CJ,f,353,525,False,,,0,1.0
1198641315,暴躁少女思密达的肱二头肌,f,290,449,False,,In me the tiger sniffs the rose.,0,7.0
1199796642,破猫crown,f,679,959,False,,你走～我走～全都走～,0,1.0
1200416830,米兰de微博,f,992007,895,True,,旅行博主、微博非遗合伙人、携程旅行家、获得《2024年·公益V力量》荣誉称号、曾获i游常州活动摄影奖、安徽故事十佳旅行体验师，资深自媒体人11年。,1,1.8333333333333333
1202533234,用户zqt9bip7wm,m,1371,3723,False,,,0,1.0
1202564654,幸而有生之年,f,71,483,False,,镇魂,0,1.0
1210566040,樊琼阳公主_232,f,7,154,False,,,0,1.0
1211282571,元気少女甜甜酱,f,1万,171,1,情感博主,众生皆苦 而我是草莓味儿的�,0,1.0
1211556895,小卓AI,f,232252,931,True,,小说作者，同人作者，叙事工作者,1,1.0
1212605560,朵朵momo,f,51,87,False,,我就是小清新啊。,0,2.0
1213064932,沐沐是mumu,f,595,812,False,,认真生活，愉快顺利,0,1.0
1215508253,HHH-SSS,f,701,2095,False,,有点儿孩子气 有点儿小幻想 有点儿小落寞,0,1.0
1216731895,Regina_Joker,f,677,337,False,,Love my baby girl.,0,1.0
1218729255,羊球球毛线团子O_o,f,484,400,False,,健康平安💛,0,1.0
1219738862,苏米-苏米,f,19333,1133,True,,从此鲜花送自己，纵马踏花向自由,1,2.0
1220081757,永吴岛,m,536,535,False,,,1,1.0
1220454537,比奇堡路人饼,f,256,108,False,,职业退堂鼓十级选手🥁ಥ‿ಥ,0,1.0
1220985282,南宫---逸洛,m,3258,1085,False,,人生因淡然而清雅，生命因宽容而博大！,0,1.0
1221312715,思思诗_,f,242,2355,False,,,0,1.0
1222238842,30岁已儿孙满堂的王八,f,560,1432,True,,♥️💚💛,1,1.0
1222396767,大生活,m,952,499,False,,生活不易，且行且珍惜。,0,1.0
1222913390,我爱爆米花花儿,f,740,781,False,,有点懒有点固执有点犟，能依靠从不独立，喜欢孤独又怕孤独，矛盾综合体，不确定喜欢什么，但知道讨厌什么，热爱做饭但不热爱生活没有上进心。。。,1,1.0
1223812162,反射弧超长星人影九,m,535453,587,True,,（小号@影九影九 ）SB和2B的简单相加= = 发脾气需要长时间CD和读条星人。 （不教骂人谢谢。给学费也不教(｡•ˇ‸ˇ•｡),1,0.0
1224013213,十里故清欢in,m,448,1140,False,,,0,2.0
1224649257,黎江微博,m,70513,1642,True,,省作协会员、歌手2024评审、清华青岛艺科院&工业文化研究室项目主理人。V:sailingleon ，欢迎合作,1,1.0
1225641623,Psycho水煮雪糕,m,1393,3042,False,,胆小的深度恐怖片爱好者！！,7,1.0
1226536994,unitedking,m,99,181,False,,Vivere est vincere!,0,1.0
1226701990,LLyyy77,f,1021,4938,False,,嘘🤫,0,1.0
1227407741,尼奇窝窝,f,1947439,261,True,,新浪知名母婴博主，育儿专家。v：ytxueren,1,2.0
1228048644,魂与百骨,f,648,259,False,,追新番/声优/ボカロ/ff14鸟区 i7日服/gl/bl/gb/骨科爱/毒舌别扭偏执禁欲系角色爱好者/泰伦狄翁 左铳 千百千 桑于 黑月 锤基 虫铁 团兵 猿美 狡宜 迪云,0,1.0
1228471860,幸运的人间富贵花,f,756,131,False,,阴晴圆缺都休说，且喜人间好时节。,0,1.0
1228479347,维扬卧龙,m,46515,596,True,,月下观世事，谁堪共酒杯,1,3.0
1228553282,真厂,m,1660,4910,False,,打假，消费红黑榜,0,1.0
1228612442,干了这杯热美式吧,f,93,110,False,,,0,2.0
